,target
1284,38.76644573
1285,31.27786763
1286,25.44986058
1287,18.89577453
1288,15.87042812
1289,12.58174796
1290,10.02069226
1291,12.53249223
1292,63.11379157
1293,105.40125079
1294,66.19398709
1295,20.09323227
1296,10.6829268
1297,6.98498923
1298,5.49688532
1299,4.16937065
1300,3.86884307
1301,1.54517331
1302,1.75634858
1303,5.12917525
1304,6.26813208
1305,8.46330974
1306,6.03200497
1307,6.15906117
1308,6.55236452
1309,7.17543108
1310,7.93409625
1311,8.74462565
1312,7.71773052
1313,7.48501417
1314,7.35075504
1315,7.46549051
1316,20.76509157
1317,16.32227634
1318,8.8305374
1319,7.97880437
1320,6.02969227
1321,6.35662348
1322,4.62569273
1323,3.31512959
1324,3.88169394
1325,5.65594028
1326,14.89968555
1327,33.71781843
1328,42.78035047
1329,18.40247308
1330,17.73399536
1331,27.24239302
1332,38.9436692
1333,23.4579949
1334,21.71911602
1335,14.21149113
1336,16.26073355
1337,11.02493963
1338,5.48211949
1339,3.71799317
1340,5.2705085
1341,4.33636033
1342,11.63786337
1343,21.63511089
1344,36.87664636
1345,53.03485023
1346,45.82485801
1347,45.8371281
1348,36.86335726
1349,31.79688574
1350,40.16802711
1351,31.59289919
1352,41.84758692
1353,57.48654036
1354,68.64534857
1355,67.70425594
1356,73.95846537
1357,69.24747949
1358,55.93787068
1359,42.11679071
1360,36.02838073
1361,30.93577441
1362,26.92523921
1363,23.44017005
1364,25.83914155
1365,30.09172836
1366,38.02133793
1367,53.84946841
1368,32.22809484
1369,27.88762995
1370,25.69297924
1371,18.18682773
1372,34.99322813
1373,32.11662453
1374,45.49403574
1375,62.87985708
1376,77.94420701
1377,72.66109277
1378,78.19808464
1379,85.39835317
1380,63.18804629
1381,62.39256337
1382,65.67116223
1383,44.71358296
1384,35.25278993
1385,41.60596005
1386,36.61662103
1387,25.87873752
1388,66.51437151
1389,9.65835781
1390,5.03630348
1391,5.58570025
1392,5.16346713
1393,4.74110196
1394,5.67753435
1395,16.28835164
1396,19.49983262
1397,13.76638664
1398,4.2786949
1399,0.97232599
1400,1.53944726
1401,10.38529765
1402,12.19308479
1403,10.61860011
1404,8.12906741
1405,4.08583354
1406,3.42492757
1407,5.19066164
1408,28.86837159
1409,39.99071044
1410,23.73192291
1411,15.90036256
1412,14.6321641
1413,8.5211
1414,8.86422633
1415,5.76080779
1416,3.86319668
1417,5.1142363
1418,3.6816359
1419,2.81034616
1420,4.06970636
1421,14.31522016
1422,29.4482805
1423,41.46367196
1424,31.36123446
1425,17.62657322
1426,19.79521221
1427,23.6671467
1428,21.11987781
1429,29.69821741
1430,53.49382407
1431,54.15430577
1432,58.23725112
1433,51.83922532
1434,36.88172925
1435,28.91894531
1436,27.82813282
1437,21.580578
1438,18.63050955
1439,25.00613014
1440,31.29684895
1441,40.19990308
1442,41.48429208
1443,50.22682148
1444,32.83384128
1445,23.89567645
1446,20.08907346
1447,23.00696535
1448,20.02507731
1449,28.47853145
1450,27.05520638
1451,21.18052297
1452,19.82818383
1453,39.18316624
1454,30.129167
1455,28.87241682
1456,37.7297861
1457,39.40440185
1458,50.62712551
1459,42.60591412
1460,41.09934897
1461,33.49928878
1462,33.95226172
1463,25.8403914
1464,28.7728415
1465,32.70082254
1466,33.81071296
1467,52.24785256
1468,48.14094994
1469,68.86227352
1470,43.41007576
1471,31.9332252
1472,18.89200117
1473,12.63333932
1474,10.10044924
1475,8.39213831
1476,4.87308674
1477,7.81638002
1478,9.7697605
1479,8.98609677
1480,10.95961289
1481,13.11148022
1482,22.91415156
1483,21.11834058
1484,21.39014692
1485,16.86270338
1486,24.02300548
1487,29.04029154
1488,25.67127116
1489,29.43108535
1490,41.61978134
1491,54.49444621
1492,39.7179974
1493,43.38110997
1494,35.16056496
1495,41.55017974
1496,27.96937527
1497,17.92132481
1498,9.4012507
1499,12.75468044
1500,16.42416312
1501,16.29185974
1502,18.1732912
1503,19.84875905
1504,26.82766064
1505,20.0330302
1506,29.19965849
1507,18.99920364
1508,18.10712022
1509,17.91040617
1510,17.77294153
1511,20.18195186
1512,21.70986662
